sentence1;sentence2;label
Стали бы когда-нибудь чернокожие парни встречаться с белыми девушками?;Неужели белые парни когда-нибудь свидания с чернокожими девушками?;0
Почему считается, что JavaScript настолько эффективен? Node.js, Fick.js, React.js и т.п. кажутся плохими. Почему же Мартин Фаулер или еще кто-то это ещё считают?;Почему JavaScript считается таким плохим? Node.js, Fancy, React и т.д. кажутся эффективными. Почему Мартин Фаулер или кто-то еще?;0
Есть ли способ сделать мой iPhone доступным к мобильным данным для конкретных приложений при подключении к сети Wi-Fi? Возможно ли это?;Есть ли способ сделать мой iPhone доступным к конкретным данным для мобильных приложений при подключении к сети Wi-Fi? Возможно ли это?;1
Сталин был таким же умным, как Троцкий?;Был ли Троцкий таким же умным, как Сталин?;0
Нравятся ли 'белым' парням азиатские девушки?;Нравятся ли белым девушкам азиатские парни?;0
Отличается ли красный перец на вкус от желтого и зеленого?;Зеленый перчик отличается по вкусу от красного и желтого?;0
Где можно найти хорошую брендированную одежду в Бангалоре по дешевой цене?;Где можно найти дешевую брендированную одежду в Бангалоре по хорошей цене?;0
Если у меня кого-то заблокировали в Инстаграме и просматривают историю, могут ли они увидеть, я его просмотрел?;Если у меня кто-то заблокирован в Инстаграме, и увидит их историю, могут ли они просмотреть, что я его просмотрел?;0
Я чувствую, что надвигается грипп, и у меня есть эметофобия. Как я могу преодолеть это?;У меня грипп наступает, и я чувствую эметофобию. Как я могу побороть это?;1
Нравятся ли индийским парням корейские девчонки?;Нравятся ли корейским парням индийские девчонки?;0
Неужели нарциссы в полной мере понимают, каким образом они контролируют, приносят вред и манипулируют теми, кто любит их?;Понимают ли нарциссы в полной мере, как они любят, причиняют боль и манипулируют теми, кто их контролирует?;0
Какие основные автомагистрали в Калифорнии и как их сравнить с основными магистралями в Канзасе?;Какие основные автомагистрали в Канзасе и как их сравнить с основными магистралями в Калифорнии?;0
Как вы поступаете с плохими / необразованными актерами, выучившими какой-либо метод?;Как вы поступаете с необразованными / плохими актерами, выучившими какой-либо метод?;1
Возможна ли передача электроэнергии от солнечных панелей обратно в электрические сети на Земле?;Возможно ли передать солнечную энергию от электрических сетей обратно в электрические сети на Земле?;0
Пакистанские манго vs индийские манго, какие из них лучшие?;Индийские манго vs пакистанские манго, какой лучше?;1
Как в Европе, как в Германии или Швейцарии, можно найти работу для работы в сфере IT?;Как можно найти в Германии или Швейцарии такую работу, как в Европе, чтобы работать в сфере ИТ?;0
Какие японские автомобили, продающиеся в Северной Америке, действительно произведёны в Японии?;Какие японские автомобили продаются в Японии, на самом деле сделаны в Северной Америке?;0
Почему у большинства азиатских городов меньше небоскребов по сравнению с современными городами США или Европы?;Почему большинство европейских городов имеют меньше небоскребов по сравнению с современными городами США или Азии?;0
Почему на подъеме как правые, так и левые партии?;Почему и левые, и правые партии на подъеме?;1
Как загрузить видео YouTube, у которых есть проблемы с авторскими правами, если я хочу монетизировать их?;Как загрузить видео YouTube, у которых есть проблемы с авторскими правами, если я хочу монетизировать их?;1
В чем разница между солнечной батареей и тубулярной?;В чем разница между тубулярной батареей и солнечной батареей?;1
Чем жизнь в Сомалиленде отличается от проживания в Сомали?;Чем жизнь в Сомали отличается от проживания в Сомалиленде?;1
Нравятся ли азиатским девушкам чернокожие парни?;Чернокожим девушкам нравятся азиатские парни?;0
Если Вы получили неограниченный доступ в интернет и вам нужно все, что вам нужно.;Если вы получили неограниченный доступ в интернет и Вы хотите все, что вам нужно.;1
Как отличить настоящие часы Geneva от фальшивых?;Как отличить фальшивые часы Geneva от настоящих?;0
Как можно описать поездку из Торонто в Окленд, и как эти города можно сравнить с городами в Эдмонтоне?;Как можно описать поездку из Эдмонтона в Окланд, и как сравнить эти города с городами в Торонто?;0
Skype: в чем разница между блокировкой кого-то и удалением его из контактов?;Skype: в чем разница между удалением кого-то и блокировкой его контактов?;0
Я очень скучаю по второму мужу после замужества с моим первым мужем, как я могу преодолеть это?;Я очень скучаю по своему первому мужу, после того как вышла замуж за второго мужа, как я могу преодолеть это?;0
Советы по поездке из Дели в Удайпур. Как обстоят дела с состоянием дорог? Сколько времени на самом деле занимает эта поездка? Что мы должны делать или чего избегать?;Советы по поездке в Удайпур для поездки в Дели. Каково состояние дороги? Сколько времени это занимает на самом деле? Все, что мы должны делать или избегать?;0
Можно ли почувствовать, что я в США, находясь на самом деле в Германии?;Можно ли чувствовать, что я в Германии, в то время как я в действительности в США?;0
Каковы основные различия между малым правительством и большим правительством?;В чем главные различия большого правительства и малого правительства?;1
Как у нас использовать сим-карту JIO на мобильном телефоне, где не поддерживается VoLTE, но поддерживается LTE в голосовом вызове?;Как мы используем JIO sim карты на мобильном телефоне, не поддерживающего VoLTE, а поддерживающего LTE для голосового звонка?;1
Как делаются идентичные близнецы? Чем это отличается от неидентичных двойняшек?;Как делаются неидентичные близнецы? Чем это отличается от идентичных двойняшек?;0
Предпочитают ли мужчины Северной Индии жениться на североиндийских женщинах? Каковы некоторые социальные проблемы, которые южно-индийская девушка может испытывать в южноиндийском домохозяйстве?;Предпочитают ли южноиндийские мужчины брак с жительницами Северной Индии? Каковы некоторые социальные проблемы, которые могут стоять перед североиндийской девушкой в семьях Юга Индии?;0
Если бы Бог не создал способ спасти человечество от вечной смерти от греха через Иисуса Христа, умерли бы все мы в Адаме и Еве?;Если бы Иисус Христос не создал способ спасти человечество от вечной смерти от греха через Бога, умерли бы все мы в Адаме и Еве?;0
Почему белое вино обычно подают при комнатной температуре, а красное вино (особенно шампанское) охлаждают?;Почему красное вино обычно подают при комнатной температуре, а белое вино (особенно шампанское) охлаждают?;0
Что было самым смешным (или) страшным, что случилось с вами во время поездки в поезде метро Дели?;Что было самым удивительным (или) смешным, что случилось с вами во время поездки в поезде метро Дели?;0
Справедливы ли законы об авторских правах для бедных, которые не могут позволить себе скачивать книги, и как гражданин третьего мира должен ли я чувствовать себя виновным в покупке пиратских копий?;Справедливы ли законы об авторских правах к бедным, которые не могут себе позволить покупать книги. Я как гражданин третьего мира должен себя считать виноватым в скачивании пиратских PPs?;1
Почему бедные люди придают так большое значение друзьям и родственникам по сравнению с богатыми людьми?;Почему богатые люди придают так много значения друзьям и родственникам по сравнению с теми, кто беднее?;0
Можем ли мы преобразовать сильную кислоту в слабую путем добавления в нее воды?;Можем ли мы преобразовать слабую кислоту в сильную путем добавления в нее воды?;0
Как вы сравните древнегреческую философию с китайским Конфуцием?;Как вы сравните китайскую конфуцианскую философию с древнегреческой?;1
Есть ли языковая разница между безграничным и безграничным?;Есть ли лингвистическая разница между безграничной и безграничной?;1
Может ли Флойд Мэйуэзер побить Конора Макгрегора в боксерском матче?;Может ли Конор Макгрегор побить Флойда Мэйуэзера в боксерском матче?;0
Какие страны не говорят по-английски, и поэтому они все еще богаты и развиты?;В каких странах не говорят на английском, а они все равно столь богаты и развиты?;1
Я сам в возрасте менее 15 лет, и я хочу стать профессиональным футболистом. Как стать этим футболистом?;Мне меньше 15 лет, и я хочу стать профессиональным футболистом. Как я могу им стать?;1
Это стакан наполовину наполнен или наполовину пуст?;Это стакан наполовину пуст или наполовину полон?;1
Почему мне нужен паспорт для поездки в Германию с Ямайки?;Зачем мне нужен паспорт для поездки на Ямайку из Германии?;0
Бокс: кто бы победил в бою, Майк Тайсон (в расцвете сил) или Владимир Кличко?;Бокс: кто бы победил в бою, Владимир Кличко (в расцвете сил) или Майк Тайсон?;0
Какие знаки показывает девушка, когда ей нравится парень?;Какие знаки показывает девушка, когда ей нравится парень?;1
Почему индийское правительство не запрещает китайские товары и услуги на постоянной основе, вместо того чтобы просить своих граждан бойкотировать китайскую продукцию?;Почему индийское правительство не запрещает китайские товары и услуги на постоянной основе, вместо того чтобы просить своих граждан бойкотировать китайскую продукцию?;1
Любит ли Гермиона Рона больше, чем свою жизнь?;Рон любит Гермиону больше, чем ее собственную жизнь?;0
Я индонезиец, и мне нравятся белые парни. Как я могу привлечь белого парня?;Я индонезиец, и мне нравятся белые парни. Как я могу привлечь белого парня?;1
Почему у велосипедов так много коробок передач, в то время как у автомобиля только 5 или 6? Нужна ли такая большая корочка передач на велосипеде?;Почему у велосипеда такое много коробок передач, если в машине всего 5 или 6? Нужна ли такая же сколина на велосипеде?;0
Как это повлияет на общество, если мужское население превысит женское?;Как это повлияет на общество, если женское население превысит мужское?;0
В чем разница между западной пищей и китайской?;Как вы думаете, в чем разница между китайской едой и западной?;1
Вероятен ли рак, если кто-то в возрасте до 30 лет найдет круглую, безболезненную маленькую лямку на верхней части правой груди и другую в левой подмышечной впадине?;Вероятен ли рак, если кто-то в возрасте до 30 лет найдет круглую, безболезненную маленькую лямку на левой груди и другую в верхней за правой подмышечной впадине?;0
Что происходит раз в минуту, два в один момент и ни разу за тысячу лет?;Что происходит раз в минуту, никогда в мгновение ока и два раза за тысячу лет?;0
Если бы вы смогли повернуть время вспять и изменить только одно, что произошло в прошлом, то что бы это сделало? Говоря гипотетически, каким мог бы стать каскад влияния такого изменения?;Если бы вы могли повернуть время вспять и изменить только одну вещь, которая произошла в прошлом, что бы это было? Гипотетически говоря, какой возможный каскад последствий могло бы произвести это изменение?;1
Почему же Тони Блэр работал под псевдонимом Джордж Оруэлл?;Почему Джордж Оруэлл работал под псевдонимом Тони Блэйр?;0
Есть ли в этом мире больше физически красивых людей, чем уродливых?;Есть ли в этом мире физически уродливых людей больше, чем красивых?;0
Как уникально географическое положение Боливии в регионе, и как его география сопоставляется с географией Перу?;Чем уникально географическое положение Перу в регионе и как сопоставима география Перу с Боливией?;0
Каковы исключения в периодических свойствах, таких как атомарный размер, потенциал ионизации, выигрыш электронов и т.д.?;Каковы исключения в атомных свойствах, таких как периодические размеры, потенциал ионизации, прирост электронов и т.д.?;0
В чем же разница между обширной собственностью и интенсивной собственностью?;Какая разница между интенсивной собственностью и обширной собственностью?;1
Скалли: The X-files были моим первым опытом работы в sci-fi. Как это было с Джиллиан Андерсон, можете ли вы поделиться некоторыми своими лучшими впечатлениями в этой роли?;Джиллиан Андерсон: The X-files были моим первым опытом работы в sci-fi. Как это было со Скалли, можете ли вы поделиться некоторыми своими лучшими впечатлениями в этой роли?;0
Какова в Барбадосе рыбная отрасль, как она сравнивается с рыбной промышленностью в Мексике?;Как устроена рыболовная промышленность в Мексике, а если сравнивать ее с рыболовством в Барбадосе?;1
Что такое политическая демократия, социальная демократия и экономическая демократия?;Что такое социальная демократия, политическая демократия и экономическая демократия?;1
Являются ли сексуально могущественные женщины самыми желанными людьми на планете?;Являются ли сексуально желанные женщины самыми могущественными людьми на планете?;0
Какая сумма под совокупные проценты составит 5305,53 рупий за 3 года, если процентная ставка составляет 1% за 1 год, 2% на 3 год и 3% во 2-й год?;Какая сумма под комплексные проценты составит 5305,53 рупий за 3 года, если процентная ставка составляет 1% на первый год, 2% - на второй год и 3% за третий год?;0
Каковы основные последствия землетрясения в Камбодии, и как эти последствия соотносятся с землетрясением в Мексике в 1787 году?;Каковы были основные последствия землетрясения в Мексике, и как эти последствия можно сравнить с землетрясением в Камбодии в 1787 году?;0
В чем существенная разница между твердой и мягкой водой? Каково их использование?;В чем разница между мягкой водой и твердой водой? В чем заключается их применение?;1
Как обеспечивается применение законов, касающихся ограничения скорости в Техасе, и чем они отличаются от того, как их применяют во Флориде?;Как применяются законы, касающиеся ограничения скорости во Флориде, и чем они отличаются от того, как они применяются в Техасе?;0
Очень сложно выразить свои мысли. Я знаю предмет, но не умею комбинировать и делиться своими мыслями. Что мне делать?;Очень трудно комбинировать и объединять свои мысли. Я знаю предмет, но я не выражаю своих мыслей. Что мне делать?;1
Молодые люди завидуют старикам?;Старики завидуют молодым?;0
Разрешается ли председателю ФРС или председателю ЕЦБ совершать сделки на FOREX на основании заявлений, которые они знают, что сделают в ближайшем будущем?;Разрешается ли председателю ФРС или председателю ЕЦБ торговать на FOREX на основании заявлений, которые они знают, что сделают в ближайшем будущем?;1
Почему же люди живут в Сиднее, а не Перте?;Почему люди живут в Перте, а не Сиднее?;0
Я хочу учиться в США (Канада опционально) Возможно ли получить стипендию на основе баллов IELTS и SAT?;Я хочу учиться в Канаде (США опционально) Возможно ли получить стипендию на основе баллов IELTS и SAT?;0
Что думают об азиатских девушках арабские и индийские парни?;Что думают об арабских и индийских девушках азиатские парни?;0
Я хочу закрыть заявление на получение паспорта, которое было подано месяц назад и получено из полиции, есть ли какое-то наказание за закрытие заявления?;Я хочу закрыть заявление на выдачу паспорта, которое уже месяц как пришло и поданное из милиции, есть штраф за закрытие заявления?;1
Почему у британских яиц коричневые раковины, а у американских - белые?;Почему у американских яиц белоснежные скорлупы, а у британских бурые?;1
Неужели более низкое качество куриного мяса менее капризно, чем более качественное куриное мясо?;Является ли куриное мясо более высокого качества менее резиновым, чем мясо кур более низкого качества?;0
Как лучше приручить котенка (самец, возраст 1 месяц) 11-летней кошке и большой 10-летней собаке?;Какой лучший способ ввести котенка (самца 1 месяца) 11-летней кошке и большого кота 10 лет самец?;0
Что помешает фальшивомонетчикам через границу печатать новые банкноты достоинством 500 рупий и 2000 рупий?;Что помешает фальшивомонетчикам через границу напечатать новые банкноты номиналом 500 и 2000 рупий?;1
Действительно ли Джеймс Бонд похож на то, что делает MI6 на самом деле, или это совершенно другое?;Действительно ли Джеймс Бонд похож на то, что на самом деле делает MI6, или же он совершенно другой?;1
Каковы наиболее важные книги, которые необходимо прочитать, чтобы приблизиться к женщинам, девушкам, знакомствам, познакомиться, свиданиям, пониманию, ухаживаниям и замужеству?;Каковы наиболее важные книги, которые необходимо прочитать, чтобы понять женщин, девочек, приближение, познакомиться, свидание, знакомства, ухаживания и замужество?;1
Люди побеждают, если они не падают в воду, а прилетают.;Люди побеждают, если они не падают в воду, но падают.;0
В случае избрания президентом, нанесет ли Дональд Трамп больше вреда США, чем Джордж Буш?;В случае избрания президентом, нанесет ли Джордж Буш больший ущерб США, чем Дональд Трамп?;0
В нем говорится, что отправлено, а не доставлено.;В нем говорится, что отправлено, а не доставлено.;1
Как возникли различные террористические организации? Как они возникли и как со временем превратились в насильственные организации?;Как возникли насильственные организации? Как они возникли и как со временем превратились в различные террористические организации?;0
Рекомендуется ли совмещать или отделять эти виды деятельности?;Рекомендуется ли отделять или совмещать эти виды деятельности?;1
Почему продукция Alibaba так дешева? Являются ли они подлинными?;Почему продукты Alibaba так дешевы? Подлинны ли они?;1
Как мне быстро набрать вес и больше никогда его не потерять?;Как мне быстро сбросить вес и никогда больше не набрать его?;0
Какие еще преэкипировочные вещи нужно знать, чтобы запустить Bluetooth модуль?;Какие еще преэкипировочные вещи я должен знать, чтобы начать модуль bluetooth?;1
Почему мы не летим на восток, чтобы ехать из Индии в США?;Почему бы нам не лететь из Индии на восток в США?;0
Что делают женщины, что ненавидят мужчины?;Что женщины ненавидят, чем занимаются мужчины?;0
Почему удельное тепло при постоянном давлении больше удельного тепла при неизменном объёме?;Почему удельное тепло при постоянном давлении больше удельного тепла при неизменном объёме?;1
Я хочу, чтобы работали настоящие сайты фрилансеров SEO. Можете ли вы порадовать нас какими-нибудь хорошими сайтами, на которых мы реально можем заработать?;Я хочу, чтобы работали настоящие сайты фрилансеров SEO. Можете ли вы порадовать нас какими-нибудь хорошими сайтами, на которых мы реально можем заработать?;1
Я почувствовала, что она меня не интересует. Поэтому я перестала поддерживать с ней связь, и 25 дней спустя она стала писать мне, и мы продолжали разговаривать. Нравится ли ей я?;Я почувствовал, что она не заинтересована во мне. Поэтому я перестал поддерживать с ней связь и через 25 дней она написала мне текст, и мы продолжали разговаривать. Нравится ли ей я?;1
Индийские мужчины знакомятся с чернокожими женщинами в Америке?;Черные ли мужчины встречаются с индийскими женщинами в Америке?;0
Человек страдает от боли в шеи, плече с левой стороны, сильной боли в руках и ногах, но боль легкая в районе шеи с левой стороны. Как его излечить? Кому следует ее лечить?;У человека болит шея, плечо слева, легкая боль в руках и ногах, но боль сильная в районе шеи с левой стороны. Как его вылечить? Кого он должен употреблять?;0
В чем разница между одним полюсом и двойным полюсом MCB?;В чем разница между двойным полюсом и одиночным MCB?;1
Был ли Дональд Трамп лучшим кандидатом в президенты, чем Джордж В. Буш?;Был ли Джордж В. Буш лучшим кандидатом в президенты, чем Дональд Трамп?;0
У меня есть сомнение насчет J1 визы. А стоит ли писать TOEFL / IELTS на визу J1? Если да, то какой минимальный балл мы должны набрать?;У меня есть сомнения по поводу визы J1. Можно ли получить TOEFL / IELTS для визы J1? Если да, то какой минимальный балл мы должны написать?;1
У меня уже есть 5-е издание Manhattan GMAT Guides. Может быть я куплю 6-е издание, чтобы начать подготовку к GMAT?;У меня уже есть 5-ое издание руководства Manhattan GMAT. Следует ли мне купить 6-ое издание для начала подготовки к GMAT?;1
Как нам определить логарифмы отрицательных чисел с комплексными числами?;Как нам определить логарифмы комплексных чисел с негативными числами?;1
Какой процессор мне купить, Intel или AMD?;Какой процессор мне купить, AMD или Intel?;1
Где имеются химические синапсы в мозге? За какие функции, как правило, они отвечают? Почему они более эффективны, чем электрические синапсы в этих указанных функциях?;Где в мозге находятся электрические синапсы? За какие функции они обычно отвечают? Почему они более эффективны, чем химические синапсы при этих определенных функциях?;0
Почему процентные ставки такие низкие в США и других странах, но не в Индии?;Почему процентные ставки в Индии и других странах так низки, но не в США?;0
Почему другие европейские империалисты не последовали за британцами, чтобы построить свою колонию на обширном Индийском континенте?;Почему индийский империалист не последовал за британцем, чтобы построить свою колонию на другом европейском континенте?;0
Неужели черные волосы, голубые глаза и белая кожа - редкое сочетание?;Разве белый волос, синие глаза и черная кожа - редкое сочетание?;0
Бедные люди каким-то образом ответственны за то, что другие богаты?;В той или иной мере богатые люди ответственны за то, что другие - бедные?;0
Когда мы скачиваем бесплатные приложения из магазинов Google, приложение просит разрешения для доступа к такой информации, как фото, контакты, и т.д. Как безопасно получить разрешение на использование?;Когда мы загружаем бесплатные приложения из магазинов Google, приложение просит разрешения на доступ к такой информации, как фото, контакты и т.д. Насколько безопасно получать разрешение на доступ?;1
"Является ли книга Сидни Шелдона ""Tides of Memory"", сделанная Сидни Шелдоном, продолжением какой-нибудь другой книги Тилли Багшоу?";"Является ли ""Приливы памяти"" Сидни Шелдона, написанные Тилли Багшау, продолжением любой другой книги Сидни Шелдона?";0
Почему индийские дороги имеют много пыли, в то время как иностранные дороги не пылятся?;Почему иностранные дороги имеют много пыли, в то время как индийские дороги не пылятся?;0
Кто обладает наибольшей властью, президент США или королева Великобритании?;Кто обладает наибольшей властью, королева Великобритании или президент США?;1
Когда любовь делает вас слабыми и когда она делает вас сильными?;Когда любовь делает Вас сильными и когда она делает Вас слабым?;1
Я сижу большую часть времени в офисе, так как мой босс назначает мне меньше проектов. Я чувствую, что я трачу свое время, работая здесь. Должен ли я уйти?;Я оставляю большую часть своего рабочего времени в офисе, так как босс назначает мне меньше проектов. Я чувствую, что трачу свое рабочее время впустую. Должен ли я сидеть?;1
Что такое японские черты лица, и как их сравнить с типичными голландскими чертами лица?;Каковы типичные голландские черты лица, и как их сравнить с японскими чертами лица?;0
В Калифорнии, если DA отклонила дело из-за отсутствия достаточных доказательств, означает ли это, что факт невиновности был или не был зафиксирован в протоколе ареста? Ни одного дела никогда не возбуждалось.;В Калифорнии, если DA отклонила дело из-за отсутствия фактических доказательств, означает ли это, что в протоколе ареста был сделан вывод о достаточной невиновности или нет? Ни одного дела так и не было возбуждено.;1
Какие гранты доступны сельскому бизнесу, работающему в Индии, который фокусируется на образовании, здравоохранении, культуре и социальном бизнесе?;Какие гранты доступны для социальных предприятий, работающих в Индии, которые фокусируются на образовании, здравоохранении, культуре и сельском бизнесе?;0
Являются ли тригонометрические соотношения действительными только для треугольников с правым углом наклона?;Правильно ли соотношения правых уловов считаются действительными только для тригонометрических треугольников?;0
В чем разница между настоящим газом и идеальным газом?;В чем разница между идеальным газом и настоящим газом?;1
"Является ли книга Джафара Субхани (автора) ""Кто есть Мухаммед?"" лучшей книгой о Мухаммеде?";"Является ли книга ""Кто такой Мухаммед?"" Джафара Субхани (автора) лучшей в истории книгой о Мухаммеде?";1
Насколько безопасен полет на дальние расстояния?;Насколько безопасен дальний перелет?;1
Если страна А запускает ядерное оружие в другую ядерную страну Б, которая почти его уничтожает, что будет делать страна Б с ядерным оружием, которое она использует?;Если страна А выстрелит ядерным оружием в другую ядерную страну В, которая ее почти уничтожает, что делать с ядерным оружием, которое оно несет?;0
Рекрутер связался со мной, но пропустил встречу. Я отправил ответ по электронной почте и перезвонил, однако ответа не последовало. Должен ли я жаловаться на сайте работодателя или в социальных сетях?;Рекрутер связался со мной, но пропустил встречу. Я отправил ответную электронную почту и пожаловался, однако ответа не последовало. Должен ли я позвонить на сайт работодателя или в социальные сети?;1
Из чего состоит пламя? Почему оно никогда не раскачивается, а только рассеивается?;Из чего делается пламя? Почему оно только расплывается, но никогда не гаснет?;0
Лечение травами лучше в жидкой форме или в виде порошкообразной капсулы? Я имею в виду, какая из них более доступна в организме?;Лечение травами лучше в жидкой форме или в виде порошкообразной капсулы? Я имею в виду, какая из них более доступна в организме?;1
Многие видят в Махатме Ганди великого человека, в то время как многие называют его несчастьем Индии. Почему существуют эти две различные точки зрения? Действительно ли он велик?;Многие называют Махатму Ганди великим человеком, в то время как многие видят в нем несчастье Индии. Почему существуют эти две разные точки зрения? Неужели он действительно великий?;1
