;sentence1;sentence2;label
22;Впервые в истории лиги Гари Гайт из Рочестера сыграл против своего брата-близнеца Пола Гейта из Филадельфии.;Впервые в истории лиги Пол Гайт из Рочестера играл против своего брата-близнеца Гэри Гейта из Филадельфии.;0
1234;В 1828 году Йоман женился на Летиции Снайдер из Олбани, с которой у него было две дочери и трое сыновей.;Йоманс женился в 1828 году на Летиции Снайдер из Олбани, с которой у него были две дочери и три сына.;1
589;Ллойд принял командование 12-й полевой артиллерийской бригадой 28 ноября 1917 года, а потом 6-й полевой артиллерийской бригадой 7 февраля 1918 года.;28 ноября 1917 года Ллойд принял на себя командование 6-й Полевой артиллерией - Бриггз, а 7 февраля 1918 года 12-й Полевой артиллерией - Бригз.;0
2443;На западе и востоке граничит с Массапекой, на северо-востоке - с северной Массапекой, а на севере - с Южной Фармингдейл.;Он граничит с Массапекой на западе и востоке, Южным Фармингдейлом на северо-востоке и Северным Масапека на севере.;0
354;Томас Хопкинс женился на Алисе Хопкинс, дочери Ли, торговца из Лондона.;Алиса Хопкинс, дочь Томаса Хопкинса, вышла замуж за лондонского торговца.;0
2094;Олимпийский комитет Каймановых островов был основан в 1973 году и признан в 1976 году МОК (Международным Олимпийским Комитетом).;Олимпийский комитет Каймановых островов был основан в 1973 году и признан Международным Олимпийским Комитетом (МОК) в 1976 году.;1
2016;Гринберг родился в Монреале, Квебек, в 1930 году и имеет трех братьев: Харви, Сидни и Иана.;Гринберг родился в 1930 году в Монреале, Квебек, у него трое братьев - Иэн, Сидней и Харви.;1
3082;Оно было названо в честь бывшего третьего премьер-министра Малайзии Тун Хусейна Онна.;Оно было названо по имени третьего премьер-министра Малайзии, Туна Хуссейна Онна.;1
1408;Его второй брат умер в возрасте 6 лет, когда Джеймсу было 4, а Эдвард, его очень почитаемый старший брат, умер на 30-м году жизни.;Его второй брат умер в возрасте 6 лет, когда Эдварду было 4, а Джеймс, его очень почитаемый старший брат, умер на 30-м году жизни.;0
816;Для того, чтобы ознакомиться с историей этих событий, прочитайте Историю Малайзии.;Чтобы прочитать о предыстории этих событий, посмотрите историю Малайзии.;1
1913;18,9% были финнами, 13,9% - словенцами, 13,8% - немец, 8,0% - шведы, 7,3% - итальянец и 5,8% - шведка.;18,9% были финского происхождения, 13,9% - словенского, 13,8% - немецкого, 8,0% - итальянского, 7,3% - немецкого и 5,8% - шведского.;0
2190;Глазная клиника Аюрведы является глазной клиникой Аюрведы и больницей в Тируваннапурам (Тривандрум), Керала, Индия.;Matha Ayurveda Eye Hospital - аюрведическая глазная клиника и больница в Тривандруме (Тируваннапурам), штат Керала, Индия.;0
749;Итальянская церковь Святого Иоанна Боско названа в честь Святого Иоанна Боско.;Итальянская церковь Святого Иоанна Боско названа в честь Святого Иоанна Боско.;1
1315;Этот список содержит слова на хорватском языке, состоящие как минимум из 10 букв. Некоторые из слов в этом списке происходят из латинского и греческого языков.;В этом списке содержатся слова на греческом языке, содержащие минимум 10 букв, некоторые из которых происходят от латинского и хорватского языков в данном списке.;0
452;В 1922 году иннискилинг переехали из Индии в британскую Шаклиф и вернулись в Ирак в 1925 году.;Инныскиллинги переехали из Индии в Ирак в 1922 году, а в 1925 году вернулись в город Шеклифф в Англии.;0
270;Оба его родителя воспитывались в Сараево, Боснии и Герцеговине, а его бабушка и дедушка росли в Монтенегро.;Оба его родителя были воспитаны в Монтенегро, Боснии и Герцеговине, а его дедушка и бабушка выросли в Сараево.;0
426;Затем переехала в Калифорнию, где поступила в Институт дизайна Сан-Диего, Калифорния.;Затем она переехала в Калифорнию, где посещала The Design Institute of San Diego, California.;1
3402;Большая Средняя Школа Гранд Лейк - это общедоступное, начальное и среднее учебное заведение в Камерон Пари (Cameron Parish), Луизиана, Соединенные Штаты, неинкорпорированный городок в Гранд Лейк (Grand Lake, Louisiana).;Grand Lake High School - это государственная, начальная и средняя школа в Гранд Лейк, Луизиана - неинкорпорированном городке в Кэмерон Пэриш, Луизиана, Соединённые Штаты.;0
2690;Они планировали сыграть в трех техасских городах, Далласе, Тайлере и Сан-Антонио, что было отменено из-за болезни.;Они планировали играть в трех Техасских городах, Далласе, Тайлере и Сан-Антонио, который был отменен из-за болезни.;1
2581;"В 1996 году был назначен главным операционным директором ""АИУ"" в Нью-Йорке и назначен президентом в 1997 году.";В 1996 году он был назначен главным операционным директором AIU в Нью-Йорке и был назначен Президентом в 1997 году.;1
1890;В 1872 году Пармели училась с Натаном Джоселином из Хартфорда, а в следующем году с Генри Брайантом в Нью-Хэвене.;Пармейли учился под началом Генри Брайанта из Хартфорда с 1872 года и в следующем году с Натали Джоселин в Нью-Хэвене.;0
846;"Издание ""Беркли"" было опубликовано в феврале 1985 года, второй тираж вышел в июне 1985-го, а третий - в ноябре 1985.";"Издание ""Беркли"" вышло в феврале 1985 года, второе было напечатано в июне 1985, а третье - в ноябре 1985.";1
2928;1 BFTS обучал студентов из Королевского военно-морского флота Австралии и Военно-воздушных сил австралийской армии.;1 BFTS обучал студентов из австралийской армии и военно-воздушного флота Королевских ВМС Австралии.;0
403;Крейг Шорт покинул клуб в конце сезона, и его заменил Стив Коттерилл.;Менеджер Стив Коттерилл покинул клуб в конце сезона, и его сменил Крейг Шорт.;0
2518;Вильям Уайнрайт выделяет четыре вида экстравертного мистического опыта и два типа интровертного мистического опыта:;Уильям Уэйнвайт различает четыре различных вида интровертного мистического опыта, и два вида экстравертного мистического опыта.;0
3381;После смерти Хумаюна 26 декабря 1530 г. его сын Бабур (1530-40) взошел 29 декабря 1530 г. на престол в Агре.;После смерти Бабура 26 декабря 1530 года 29 декабря 1530 года сын Хумаюна (1530-40) взошел на престол в Агре.;0
1420;Сначала проблема написана в виде матрицы, как указано ниже;Во-первых, проблема обозначена в виде матрицы, как написано ниже:;1
3777;"Его физическое местоположение находится в провинции Хэйлунцзян; однако он находится под юрисдикцией Внутренней Монголии.";"Физически она расположена в провинциях Внутренняя Монголия; однако она находится под юрисдикцией провинции Heilongjiang Province.";0
1394;Ялуторовск - город в Тыве, расположенный на реке Тобол на юго-востоке Тюменской области, Россия. Население:;Ялуторовск - город в Тюменской области России, расположен на реке Тобол к юго-западу от Тюмени. Население:;0
1796;Другими языками, на которых говорят дома, были мандарианский 4,0%, кантонский 1,8%, русский 1,7%, греческий 1,6% и испанский 1,3%.;Другие языки, на которых говорят дома, - мандонский 4,0%, кантонский 1,8%, русский 1,7%, греческий 1,6%, испанский 1,3%.;0
2201;Она изучала журналистику в Нью-Йорке три года, и имеет магистерскую степень в области СМИ, полученную в лондонском университете.;Она изучала журналистику три года в Нью-Йорке и имеет степень магистра в области средств массовой информации в лондонском университете.;1
1526;"Связанная с Citigroup компания ""Авко"" была преобразована в ""Associates First Capital"" в 1998 году, а в 2000 году она была приобретена компанией ""Avco Financial Services"".";Связанная с Авко компания, Avco Financial Services, в 1998 году была преобразована в Associates First Capital, которая сама была приобретена Citigroup в 2000 году.;0
238;В период с января 2003 года по январь 2005 года она была послом в Румынии, а также была аккредитована в Молдове и Болгарии.;В период с января 2003 года по январь 2005 года она была послом в Болгарии, а также была аккредитована в Молдове и Румынии.;0
1930;В следующей таблице перечислены все игры, в которых играла сборная Бразилии в официальных соревнованиях и товарищеских матчах в 1986 году.;В следующей таблице перечислены все игры, сыгранные национальной сборной Бразилии по футболу в товарищеских соревнованиях, и официальные матчи в 1986 году.;1
701;План парка Davey Glen схож с парком Twin Pines Park и другими парками в Белмонте.;Компоновка Belmont похожа на парк Twin Pines и другие парки в парке Davey Glen Park.;0
2947;Остров Барралье (Barrallier Island) - очень маленький необитаемый остров, расположенный к северо-западу от Французского острова в австралийской Виктории.;Французский остров - очень маленький необитаемый остров, расположенный к северо-западу от острова Барралье в Виктории, Австралия.;0
2467;В июле 2008 года компания Kona Brewing Company открыла свой первый ресторан и третий франшизу в Международном аэропорту Гонолулу.;В июле 2008 года компания Kona Brewing Company открыла первый ресторан и третью по франшизе точку в международном аэропорту Гонолулу.;1
307;Олимпийский комитет Каймановых островов был основан в 1973 году и признан МОК (Международным Олимпийским Комитетом) в 1976 году.;Олимпийский комитет Каймановых островов был основан в 1973 году и признан Международным Олимпийским Комитетом (МОК) в 1976 году.;1
2670;Он родился 14 марта 1981 года в городе Хингтон, Западная Мидлендс, у него есть старший брат Картрайт, который также является актером.;Он родился 14 марта 1981 года в городе Эдингтон в западной части Мидленда, у него есть старший брат Че Картрайт, который также является актером.;0
2849;В 2015 году Стивен Хокинг бесплатно предложил Ричарду Брэнсону место в космическом корабле Virgin Galactic.;В 2015 году Стивен Хокинг бесплатно предложил Ричарду Брэнсону место на космическом корабле Virgin Galactic.;1
1239;У Джона остались дочь и его сын Аннабель и Ричард Огдон.;У Ричарда Огдона остались его дочь и сын, Аннабель и Джон.;0
371;Long Lake - это крупнейший остров в Тай Вэлли в провинции Ланарк на востоке Онтарио, Канада, входит в муниципальную систему Фэрри Айленд.;Фарри-Айленд - это самый большой остров в Лонг-Лейк в округе Ланарк, Восточный Онтарио, Канада, муниципалитет Долина Тай.;0
3139;Спустя некоторое время после того, как Ангела Кэмерон вышла замуж, американец-афроамериканец ворвался в её дом, убил ее мужа и сына и изнасиловал ее сестру.;Спустя некоторое время после женитьбы Ангелы Кэмерон американец-американец проникает в ее дом, убивает ее мужа и сына и насиловал ее сестру.;0
139;Исполнительная ветвь правительства состояла из президента, премьер-министра, ряда федеральных министров и заместителей премьер-министра.;Исполнительная ветвь правительства состояла из президента, премьер-министра, ряда федеральных министров и вице-премьеров.;1
1781;Однако Мойано добился своего переизбрания на пост главы CGT и заручился поддержкой 134 профсоюзов, в том числе большинства крупных.;Однако Мойано обеспечил себе переизбрание на пост главы CGT и заручился поддержкой 134 профсоюзов, в том числе большинства крупных.;1
1340;"Сезон 1912-13 был шестым сезоном ""Манчестер Юнайтед"" в Футбольной лиге и 21-м - в Первом дивизионе.";"Сезон 1912-13 годов был 21-м сезоном ""Манчестер Юнайтед"" в Футбольной лиге и шестым местом в Первом дивизионе.";0
1974;Фильм вышел на экраны в Аргентине 6 августа 1992 года и позднее был опубликован в Испании.;Фильм вышел на экран 6 августа 1992 года в Аргентине, а позднее вышел на экраны Испании.;1
2255;Он погиб в 1909 году в Калгари и был похоронен в Монреале.;Он погиб в Калгари в 1909 году и был похоронен в Монреале.;1
1538;Самолет дошел до Большого Финала регбийной лиги Брисбена 1988 и 1989 годов.;Джетс достигли Гранд Финалов Премьер Лиги Брисбен 1988 и 1989.;0
2910;16,2% были гражданами Финляндии, 15,7% ирландцами, 13,0% немцами, 9,2% шведками, 6,5% австралийцами и 5,4% американцами.;16,2% были финского происхождения, 15,7% ирландского, 13,0% немецкого, 9,2% шведского, 6,5% немецкого и 5,4% американского происхождения.;0
1732;15 августа 2012 года он был назначен новым менеджером национальной сборной Объединенных Арабских Эмиратов.;15 августа 2012 года он был назначен новым менеджером главной национальной сборной Объединенных Арабских Эмиратов.;1
2780;14 декабря 2009 года Elkhorn City стал частью Cedarville.;14 декабря 2009 года г. Elkhorn City стал частью Cedarville.;1
2111;В эпизоде сериала The Tonight Show 1985 года, в котором главную роль исполняет Джонни Карсон (Johnny Carson), он упоминает эту историю и рассказывает ее Эду Макмэхону (Ed McMahon) по сюжету.;"В эпизоде сериала ""The Tonight Show"" 1985 года с Джонни Карсоном Джонни упоминает историю и сообщает историю Сайдекик Эду Макмэхону.";0
2203;Список фильмов, произведенных в кинотеатрах Австрии в 1940-х годах, в разбивке по годам выпуска. Ознакомиться со списком статей об австрийских фильмах можно здесь.;Список фильмов, заказанных в кинотеатрах Австрии в 1940-х годах, с разбивкой по годам выпуска. Ознакомиться со списком статей об австрийских фильмах можно здесь.;0
2452;Биг Крик является притоком реки Сан-Хоакин в Сьерра-Невада, в составе Национального леса Сьерра, в Центральной Калифорнии.;Биг-Крик является притоком реки Сан-Хоакин в Сьерра-Неваде, в Национальном лесе Сьерра в Центральной Калифорнии.;1
2474;Хьюз, родившийся в Уэльсе, основал в городе два отдельных прихода и каждое воскресенье проповедовал валлийские проповеди одному и английские проповеди другому.;Хьюз, родившийся в Уэльсе, основал в городе две отдельные общины, проповедуя английские проповеди одной и валлийские проповеди другой каждое воскресенье.;1
1099;Агрегация была применена в австралийских судах, но отклонена в Англии.;Агрегация отклоняется в австралийских судах, но применяется в Англии.;0
1055;Левелетт расположен вдоль южной границы графства Хемпшир, к северу от графства Франклин.;Леверетт расположен вдоль южной границы графства Хэмпшир, к северу от округа Франклин.;1
1350;Менее чем через год после женитьбы Шарлемань женился на Десидерате и отрекался от 13-летней швабиянки по имени Хильдегард.;Шарлемань женился на Десидерате менее чем через год после замужества и бросил 13-летнюю швабчанку по имени Хильдегард.;1
2587;В городе есть библиотека, несколько начальных школ и средние школы.;В городе имеется библиотека, начальные и средние школы, несколько.;1
2700;Артур Врэйли, 3-й барон Уэсли (17 июня 1824 - 28 декабря 1910), был либералом и британским политиком.;Артур Вршли, 3-й барон Врёлей (17 июня 1824 - 28 декабря 1910) был либералом и британским политиком.;0
2601;Потом он переехал в Швейцарию, а позже в Италию, где встретился с Шелли и Байроном.;Позже он переехал в Швейцарию и затем в Италию, где встретился с Шелли и Байроном.;1
193;Сезон 2012 года ЕЖИ, третьей ступени в системе эстонского футбола, является двадцать вторым в истории лиги.;Сезон 2012 года в Эйлате, третий этап в системе эстонского футбола, является двадцать вторым сезоном в истории Лиги.;0
1493;В данный момент в списке стран - Иран, Сирия, Судан и Северная Корея.;Странами в этом списке на данный момент являются Иран, Северная Корея, Судан и Сирия.;1
1775;Тур достиг 12 июля 2008 года в Шанхае и 22 ноября 2008 в Бангкоке, Таиланд.;Тур приехал в Бангкок в Таиланде 12 июля 2008 и 22 ноября 2008 в Шанхае.;0
2152;Результаты клинических испытаний на людях с неподдающимися лечению метастазами от различных твердых опухолей были опубликованы в журнале Science в 2017 году.;Результаты клинических испытаний у людей, у которых неизлечимые метастазы возникают от различных твердых опухолей, были опубликованы в издании Science в 2017 году.;1
3780;После своей службы Локхарт жил в Техасе, но недавно переехал во Флориду.;После своей службы Локхарт жил в Техасе, однако недавно переехал во Флориду.;1
1656;Аннулирование советских трактатов было одним из довоенных требований во время польско-румынских переговоров, проводившихся Францией, Великобританией, Польшей и Советским Союзом.;Аннулирование польско-румынских трактатов было одним из требований Советского Союза во время предвоенных переговоров между Францией, Великобританией, Польшей и Советским Союзом.;0
3018;Следующие суда использовались в качестве паромов с Мальты на Гоцо в период с 1885 по 1978 год:;С 1885 года по 1978 год в качестве паромов с Гозо на Мальту использовались следующие суда:;0
2414;Саудовская Аравия, UAE и Kuwait упоминались в качестве потенциальных клиентов, хотя пока никаких конкретных контрактов подписано не было.;Кувайт, ОАЕ и Саудовская Аравия упоминались в качестве потенциальных клиентов, хотя пока не заключено никаких конкретных контрактов.;1
3882;Шпиль был построен Барри в 1841 году, но никогда не был спроектирован.;Башня была спроектирована Барри в 1841 году, но так никогда и не была построена.;0
1089;К северу находится Стюартстоун, к востоку - Колумбия, а к югу - Диксвилл.;На севере находится Стюартстон, на востоке - Колумбия и на юге - Диксвилл.;1
2552;Он был разрушен и перестроен в 1446 году, а в 1551 году был заброшен.;Она была разрушена и восстановлена в 1446 году и заброшена в 1551 году.;1
2864;После ухода из Колчестера Озил играл за Chesham United, Enfield, St Albans City, Dheman's Redbridge и Billericay Town.;"После ухода с ""Энфилда"" Озил играл за Chesham United, Colchester, St. Albans City, Dheam Redbridge and Billericay Town.";0
3049;В 1994 году Брет Харт вернулся на WBA SummerSlam, где он сразу оказался вовлечен в продолжительный семейный конфликт между Смитом и его братом Оуэном Хартом.;Брет Харт вернулся на чемпионат мира SummerSlam в 1994 году, где он сразу же стал участником продолжающегося семейного конфликта между Смитом и его братом, Оуэном Хартом.;1
2596;Этнический состав населения Хиллтауна на 93% состоит в основном из белых, 3% составляют азиаты, а 1% - китайцы.;"В основном этнический состав населения Хиллтауна состоит из белых, составляющих 93%; 3% составляют выходцы из Азии и 1% - китайцы.";1
182;1 апреля 2010 года Питер Эбдон сделал первый в своей карьере официальный максимальный перерыв в матче второго круга на China Open 2010 против Робертсон.;1 апреля 2010 года Робертсон совершил первый официальный максимальный перерыв в карьере в матче второго круга открытого чемпионата Китая против Питера Эбдона в 2010 году.;0
1182;Это означает, что гомотопический эквивалент между M, W и N гомотопически является C-изоморфизмом.;Это значит, что гомотопическое соответствие между М, W и N является гомотопией C-изоморфизма.;1
2318;Ранее он анонсировал игры по футболу в колледже для ABC Sports, где тоже работал вместе с Диком Вермалем.;Ранее он анонсировал College - Football - Games для ABC Sports, где также работал с Диком Вермалем.;1
2758;В Англо-китайской школе он учился на вечерних занятиях по английскому языку.;Он посещал вечерние занятия по английскому языку в школе Chinese-Anglo School.;1
1482;Несколько членов Комиссии Макмиллана были назначены в КФА, как многие сторонники плана Макмиллана.;В Комиссию Макмиллана было назначено несколько членов КФА, как и немало сторонников плана Макмиллана.;0
1717;Этого вида регулярно вылавливают на побережьях Сицилии, Италии, Греции, Крита, Франции, Турции и Испании.;Данный вид вылавливается регулярно на побережьях Крита, Греции, Сицилии, Италии, Франции, Турции и Испании.;1
1422;После сезона 1971 года Эд Фармер был продан Тиграми Кливленд - Индианам в обмен на Коллинз вместе с Томом Тиммерманном.;"После сезона 1971 года, Коллинз был обменян ""Тиграми"" в ""Кливленд Индиана"" в обмен на Эда Фармера вместе с Томом Тиммерманном.";0
1839;Город Отисфилд, который сейчас находится в графстве Камберленд, до 1978 года входил в состав Оксфордского графства.;Город Отисфилд, на данный момент расположенный в графстве Камберленд, до 1978 года являлся частью графства Оксфорд.;1
2198;Эндрю Могрелия - британский дирижер с разносторонней карьерой, который дирижирует симфоническими произведениями, балетками и большой дискографией для лейбла Naxos.;Эндрю Могрелия - британский дирижер с разносторонней карьерой, дирижирующий большими произведениями, балетами и симфонической дискографией для Nax;0
2624;К северу от вулкана простирается магнитный слой горных пород, а под Пасос Бланкос смоделировано большое магнетитовое тело.;Большой слой горных пород простирается к северу от вулкана, а под Пасос Бланкос было смоделировано магнитное магнетитовое тело.;1
3307;В период с 1900 по 1915 годы были построены дополнительные пути для местного сообщения, при этом существующие пути были зарезервированы для транзитных поездов.;В период с 1900 по 1915 годы, для местного движения резервировались дополнительные пути, причем существующие пути строились для транзитного движения поездов.;0
1121;Чарльз Фаррер родился в Лондоне, младший брат художника-фаррера.;Фаррер родился в Лондоне, младший брат художника Томаса Чарльза Фарера.;0
2415;Округ Бэй (Bay County) - гражданский город в городке Гарфилд (Garfield Township) американского штата Мичиган.;Округ Бей - гражданская община городка Гарфилд в американском штате Мичиган.;1
513;Легкая область каждой тяжелой или переменной цепи оглобулина закодирована в несколько частей - известных как сегменты генов (субгены).;Переменная область каждой тяжелой или легкой цепи оглобулина закодирована в несколько частей - известных как сегменты генов (подгены).;0
3016;Первоначальный отрезок Фултон-стрит в том виде, в каком он существует сегодня, - это Fulton Mall между улицей Адамс и Флэтч-авеню.;Первоначальный отрезок Фултон-стрит в том виде, в каком он существует сейчас, - это Fulton Mall между улицей Адамс и Флэтч-авеню.;1
1288;Хант вернулся в Нью-Йорк до 1976 года, когда он переехал в Венице, Калифорния.;Хант вернулся в Нью-Йорк до тех пор, пока не переехал в Венис, Калифорния, в 1976 году.;1
2498;Сочетание теплых поверхностных вод и холодных глубоководных вод поддерживает высокий уровень биоразнообразия.;Сочетание теплых поверхностных вод и холодных, глубоких вод поддерживает высокое биоразнообразие.;1
3553;Но когда Либби согласилась позировать для некоторых фотографий, сделанных Люком, она бросилась на него, и он понял, что больше не может противостоять ей.;Но когда Люк согласился позировать для нескольких фотографий Либби, она бросилась на него, и он понял, что больше не может противостоять ей.;0
1719;Он покинул Италию в 1991 году для работы в области паллиативного ухода за больными раком в Германии, а также в различных странах третьего мира.;В 1991 году он покинул Италию для работы в области паллиативного ухода за больными раком в Германии, а также в различных странах третьего мира.;1
2067;Она, как правило, диоцидная (мужские и женские шишки на отдельных растениях), но иногда моноцитарная (самцы и самки шишек на одном и том же растении).;Время от времени это диоцез (мужские и женские шишки на разных растениях), но обычно монохромный (самцы и самки шишек на одном и том же растении).;0
116;"Другие незоризомиды, известные из Санта-Круза, Nesoryzomys indefessus, также вымерли там; другие виды рода выживают на разных островах.";Другие известные по виду Santa Cruz Nesoryzomys, Nesoryzomys indefessus, там также вымерли, остальные виды рода выживают на различных островах.;0
746;К другим регионам, считающимся свободными от CSF, относятся Ирландия (1962 г.), Австралия, Канада, Новая Зеландия и Скандинавия.;В числе других регионов, которые считаются свободными от CSF, - Австралия, Канада (1962 г.), Ирландия, Новая Зеландия и Скандинавия.;0
3666;Они прибыли из Польши в Россию в восемнадцатом веке, и их язык включает польские, немецкие и русские слова.;Они прибыли в Россию в XVIII веке из Польши, и их язык включает русские, немецкие и польские слова.;1
2702;В период 1885-1978 гг. от Мальты до Гозо шли следующие корабли:;Следующие суда использовались в качестве паромов от Гоцо до Мальты в период с 1885 по 1978 год:;0
2746;Также на этих уровнях находится 35-мм ручной гранатомет QLZ-87 и 50-мм автоматический гранатомет QLT-89 и QLT-89A.;Кроме того, на этих уровнях находятся 35мм автоматический гранатомет QLZ-87 и 50мм ручной гранатомет QLT-89 и QLT-89A.;0
517;В апреле 2014 президент Рэнди Гарфилд ушел в отставку. Кеннет Свендсен был назначен президентом в марте 2014 года.;В апреле 2014 года Президент Кеннет Свендсен ушел в отставку, а Рэнди Гарфилд был избран президентом в марте 2014 года.;0
358;В ноябре 2014 года Лиза Мур была назначена на пост главного редактора National Wildlife и сменила на этом посту Марка Уэкслера.;В ноябре 2014 года Марк Векслер был назначен главным редактором National Wildlife. На этом посту она сменила Лизу Мур.;0
1556;Сергей Пускепалис родился в 1966 году в Курске, в то время Советском Союзе, от отца-литовца и матери-болгары из Молдавии.;Сергей Пускепалис родился в 1966 году в Курске, в то время Советском Союзе, от отца-болгарина и матери-литовки из Молдавии.;0
3710;После принятия конституции Соединённых Штатов в 1789 году, Америка была ратифицирована биллем о правах в 1791 году.;После того как в 1789 году была ратифицирована Конституция Соединенных Штатов, в 1791 году был принят Билль о правах Соединенных Штатов.;0
2187;У Лю Ли было два сына: Лю Инь и Лю Жи. Сын Лю Инь был Лю Чэн. Внук Лю Юна был Лю Си.;У Лю Ли было двое сыновей: Лиу Инь и Люй Цзи, сын Лу Йинь был Люу Чэн, а внук Ли Юн был Лью Сюй.;1
651;Весь город планируется с авеню и жилыми районами, а также промышленными зонами.;Весь город спланирован с авеню и жилыми районами, а также коммерческими площадями.;0
3183;В 1806 году Луи фон Бонапарт назначил своего брата Луи Бонапарта, католика, королем Нидерландов.;В 1806 году Луи Бонапарт назначил своего брата, Луи Мелона, католика по происхождению, королем Нидерландов.;0
1968;Первоначально армия состояла из 69, 68 и 67-й дивизии. Однако 68-я дивизия была расформирована в августе 1952 года.;Первоначально армия состояла из 67, 68 и 69-й дивизии. Однако 68-я дивизия была расформирована в августе 1952 года.;1
917;1 BFTS подготовил студентов из Королевского австралийского военно-морского флота и воздушных сил армии Австралии.;1 BFTS обучал студентов из австралийской армии и военно-воздушного флота Королевских ВМС Австралии.;1
95;Он родился в Монреале и получил степень бакалавра в Гарвардском университете в 1945 году и степень магистра в университете Макгилла.;Джои родился в Монреале. В 1945 году он получил степень бакалавра в Гарвардском университете, а в 1948 - магистра в Университете Макгилла.;0
721;Сыном Чарльза Гордона был солдат и член парламента полковник Джон Гордон (ок. 1776 -- 1858).;Сын Джона Гордона был солдатом и полковником парламента Чарльзом Гордоном (ок. 1776 - 1858).;0
